product_id,family,collection,variant_size,margin_pct,price_cents,base_eu_eur,base_us_usd,revenue_usd_at_fx,us_cost_usd,gross_margin_usd,status
book-atmospheric-hardcover-83sq,hpb,the-atmospheric-collection,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-atmospheric-hardcover-a5l,hpb,the-atmospheric-collection,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-atmospheric-hardcover-a4l,hpb,the-atmospheric-collection,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-atmospheric-hardcover-a5p,hpb,the-atmospheric-collection,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-atmospheric-hardcover-a4p,hpb,the-atmospheric-collection,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-atmospheric-softcover-a5p,spb,the-atmospheric-collection,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-atmospheric-softcover-a4p,spb,the-atmospheric-collection,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
book-halcyon-hardcover-83sq,hpb,the-halcyon-collection,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-halcyon-hardcover-a5l,hpb,the-halcyon-collection,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-halcyon-hardcover-a4l,hpb,the-halcyon-collection,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-halcyon-hardcover-a5p,hpb,the-halcyon-collection,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-halcyon-hardcover-a4p,hpb,the-halcyon-collection,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-halcyon-softcover-a5p,spb,the-halcyon-collection,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-halcyon-softcover-a4p,spb,the-halcyon-collection,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
book-mono-hardcover-83sq,hpb,monochrome-moods,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-mono-hardcover-a5l,hpb,monochrome-moods,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-mono-hardcover-a4l,hpb,monochrome-moods,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-mono-hardcover-a5p,hpb,monochrome-moods,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-mono-hardcover-a4p,hpb,monochrome-moods,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-mono-softcover-a5p,spb,monochrome-moods,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-mono-softcover-a4p,spb,monochrome-moods,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
book-signature-hardcover-83sq,hpb,the-signature-collection,83sq,100,2500,12.5,13,29.2875,13,16.2875,OK
book-signature-hardcover-a5l,hpb,the-signature-collection,a5l,100,1900,9.5,11,22.2585,11,11.2585,OK
book-signature-hardcover-a4l,hpb,the-signature-collection,a4l,100,2100,10.5,13,24.6015,13,11.6015,OK
book-signature-hardcover-a5p,hpb,the-signature-collection,a5p,100,2100,10.5,11,24.6015,11,13.6015,OK
book-signature-hardcover-a4p,hpb,the-signature-collection,a4p,100,2500,12.5,13,29.2875,13,16.2875,OK
book-signature-softcover-a5p,spb,the-signature-collection,a5p,90,1615,8.5,9,18.9197,9,9.9197,OK
book-signature-softcover-a4p,spb,the-signature-collection,a4p,90,1805,9.5,10,21.1456,10,11.1456,OK
cal-atmospheric-a5l,cal,the-atmospheric-collection,a5l,100,1790,8.95,8.95,20.9698,8.95,12.0198,OK
cal-atmospheric-a4l,cal,the-atmospheric-collection,a4l,100,1990,9.95,9.95,23.3128,9.95,13.3628,OK
cal-halcyon-a5l,cal,the-halcyon-collection,a5l,100,1790,8.95,8.95,20.9698,8.95,12.0198,OK
cal-halcyon-a4l,cal,the-halcyon-collection,a4l,100,1990,9.95,9.95,23.3128,9.95,13.3628,OK
cal-mono-a5l,cal,monochrome-moods,a5l,100,1790,8.95,8.95,20.9698,8.95,12.0198,OK
cal-mono-a4l,cal,monochrome-moods,a4l,100,1990,9.95,9.95,23.3128,9.95,13.3628,OK
cal-signature-a5l,cal,the-signature-collection,a5l,100,1790,8.95,8.95,20.9698,8.95,12.0198,OK
cal-signature-a4l,cal,the-signature-collection,a4l,100,1990,9.95,9.95,23.3128,9.95,13.3628,OK
photo-atmospheric-leiden-017-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-017-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-017-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-017-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-017-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-017-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-017-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-017-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-017-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-017-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-017-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-017-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-017-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-017-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-017-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-017-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-017-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-017-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-017-pos-6x4-pack10,pos,the-atmospheric-collection,6x4,350,2700,6,6,31.6305,6,25.6305,OK
photo-atmospheric-leiden-017-pos-6x4-pack20,pos,the-atmospheric-collection,6x4,350,4950,11,11,57.9892,11,46.9892,OK
photo-atmospheric-leiden-017-pos-6x4-pack50,pos,the-atmospheric-collection,6x4,350,11250,25,25,131.7938,25,106.7938,OK
photo-atmospheric-leiden-017-pos-6x4-pack100,pos,the-atmospheric-collection,6x4,350,19800,44,44,231.957,44,187.957,OK
photo-atmospheric-leiden-017-pos-7x5-pack10,pos,the-atmospheric-collection,7x5,350,4050,9,9,47.4457,9,38.4457,OK
photo-atmospheric-leiden-017-pos-7x5-pack20,pos,the-atmospheric-collection,7x5,350,7200,16,16,84.348,16,68.348,OK
photo-atmospheric-leiden-017-pos-7x5-pack50,pos,the-atmospheric-collection,7x5,350,17550,39,39,205.5982,39,166.5982,OK
photo-atmospheric-leiden-017-pos-7x5-pack100,pos,the-atmospheric-collection,7x5,350,32850,73,73,384.8377,73,311.8377,OK
photo-atmospheric-leiden-068-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-068-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-068-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-068-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-068-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-068-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-068-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-068-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-068-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-068-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-068-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-068-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-068-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-068-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-068-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-068-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-068-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-068-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-068-hge-16x20,hge,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-068-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-068-hge-24x36,hge,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-068-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-068-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-068-hpr-16x20,hpr,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-068-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-068-hpr-24x36,hpr,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-068-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-068-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-074-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-074-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-074-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-074-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-074-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-074-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-074-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-074-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-074-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-074-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-074-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-074-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-074-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-074-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-074-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-074-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-074-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-074-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-074-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-074-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-074-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-074-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-074-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-074-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-074-hge-16x20,hge,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-074-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-074-hge-24x36,hge,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-074-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-074-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-074-hpr-16x20,hpr,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-074-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-074-hpr-24x36,hpr,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-074-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-074-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-091-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-091-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-091-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-091-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-091-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-091-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-091-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-091-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-091-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-091-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-091-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-091-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-091-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-091-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-091-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-091-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-091-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-091-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-091-pos-6x4-pack10,pos,the-atmospheric-collection,6x4,350,2700,6,6,31.6305,6,25.6305,OK
photo-atmospheric-leiden-091-pos-6x4-pack20,pos,the-atmospheric-collection,6x4,350,4950,11,11,57.9892,11,46.9892,OK
photo-atmospheric-leiden-091-pos-6x4-pack50,pos,the-atmospheric-collection,6x4,350,11250,25,25,131.7938,25,106.7938,OK
photo-atmospheric-leiden-091-pos-6x4-pack100,pos,the-atmospheric-collection,6x4,350,19800,44,44,231.957,44,187.957,OK
photo-atmospheric-leiden-091-pos-7x5-pack10,pos,the-atmospheric-collection,7x5,350,4050,9,9,47.4457,9,38.4457,OK
photo-atmospheric-leiden-091-pos-7x5-pack20,pos,the-atmospheric-collection,7x5,350,7200,16,16,84.348,16,68.348,OK
photo-atmospheric-leiden-091-pos-7x5-pack50,pos,the-atmospheric-collection,7x5,350,17550,39,39,205.5982,39,166.5982,OK
photo-atmospheric-leiden-091-pos-7x5-pack100,pos,the-atmospheric-collection,7x5,350,32850,73,73,384.8377,73,311.8377,OK
photo-atmospheric-leiden-122-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-122-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-122-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-122-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-122-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-122-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-122-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-122-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-122-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
photo-atmospheric-leiden-122-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-122-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-122-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-122-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-122-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-122-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-122-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-122-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-122-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-122-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-122-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-122-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-122-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-122-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-122-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-122-hge-16x20,hge,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-122-hge-a5,hge,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-122-hge-24x36,hge,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-122-hge-a4,hge,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-122-hge-a3,hge,the-atmospheric-collection,a3,50,1800,12,16,21.087,16,5.087,OK
photo-atmospheric-leiden-122-hpr-16x20,hpr,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
photo-atmospheric-leiden-122-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,4,4,7.029,4,3.029,OK
photo-atmospheric-leiden-122-hpr-24x36,hpr,the-atmospheric-collection,24x36,50,5850,39,39,68.5327,39,29.5327,OK
photo-atmospheric-leiden-122-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-122-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-151-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-151-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-151-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-151-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-151-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-151-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-151-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-151-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-151-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
